id,node_id,timestamp,pm2_5,pm10,NO,NO2,NOX,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,added_at
1,1,2025-04-30T13:26:08.254682Z,75.244231,183.759641,30.478337,63.122321,62.373062,10.163324,4.956515,7.015088,13.420672,1.879302,2.356948,4.619559,103.160388,2025-04-30T13:26:08.257832Z
2,2,2025-04-30T13:26:08.254733Z,88.233862,86.596399,22.517604,65.02269,59.797931,20.713281,6.485433,5.860818,4.188259,1.424863,3.783643,6.287064,324.932274,2025-04-30T13:26:08.257850Z
3,3,2025-04-30T13:26:08.254751Z,80.479078,88.072497,27.66943,52.533,49.438553,20.704084,5.40243,13.108169,11.569766,1.129574,1.834128,3.983056,175.659654,2025-04-30T13:26:08.257862Z
4,4,2025-04-30T13:26:08.254767Z,92.715141,33.773516,14.439495,71.379073,30.336257,6.573788,6.825044,14.893444,16.405404,0.767078,2.325666,4.189774,271.173748,2025-04-30T13:26:08.257872Z
5,5,2025-04-30T13:26:08.254783Z,39.057557,108.950822,43.582355,64.235062,38.554844,19.83858,5.718049,13.741075,12.891628,2.086721,2.689259,4.540515,315.522376,2025-04-30T13:26:08.257885Z
6,6,2025-04-30T13:26:08.254813Z,59.202983,102.545201,50.365485,84.524291,52.455405,36.996195,7.048112,17.619557,11.536722,2.354628,2.505708,4.488566,159.023695,2025-04-30T13:26:08.257896Z
7,7,2025-04-30T13:26:08.254832Z,65.711899,75.935978,33.824644,63.917013,52.891577,18.62062,1.491769,7.989723,16.102291,0.687813,2.182667,6.273218,48.080535,2025-04-30T13:26:08.257905Z
8,8,2025-04-30T13:26:08.254850Z,130.491863,128.525602,52.824032,59.750111,56.49154,23.255756,4.202563,9.636804,0.0,1.993092,1.710271,4.943548,45.679725,2025-04-30T13:26:08.257915Z
9,9,2025-04-30T13:26:08.254866Z,98.33381,211.313341,54.612387,72.335735,86.02924,21.3896,3.369698,14.988783,15.562305,1.806024,1.861259,5.566306,384.800186,2025-04-30T13:26:08.257924Z
10,10,2025-04-30T13:26:08.254881Z,104.524745,117.842101,42.678601,41.644372,47.705063,10.09679,4.345488,24.857236,15.978485,0.928402,3.047343,2.7355,341.756889,2025-04-30T13:26:08.257935Z
11,11,2025-04-30T13:26:08.254896Z,110.120066,187.9057,52.686094,83.368606,49.854839,12.669471,7.956264,13.502927,15.4951,0.976509,3.923523,0.0,133.024157,2025-04-30T13:26:08.257947Z
12,12,2025-04-30T13:26:08.254911Z,71.201003,82.941399,16.4046,39.529781,65.441721,6.702485,2.027776,6.918937,1.792021,1.423724,3.351499,2.609732,198.700495,2025-04-30T13:26:08.257958Z
13,13,2025-04-30T13:26:08.254926Z,67.729275,2.436261,50.971244,85.851886,67.709441,21.071334,7.535231,12.031283,0.0,1.162785,1.980013,1.394085,32.708129,2025-04-30T13:26:08.257970Z
14,14,2025-04-30T13:26:08.254941Z,72.515371,94.013476,68.318438,70.029341,75.08777,22.194227,4.778865,15.081722,6.97768,1.974441,2.900129,5.085365,266.198052,2025-04-30T13:26:08.257982Z
15,15,2025-04-30T13:26:08.254956Z,129.733858,93.888563,32.13306,14.141411,42.390108,23.576212,4.1188,19.560989,6.130095,1.225224,3.735284,3.774815,351.633326,2025-04-30T13:26:08.257993Z
